EventID,Division,FinalRank,PDGAPoints,Name,PDGANumber,Rating,FinalScore,RoundOneScore,RoundTwoScore,RoundThreeScore,RoundFourScore,TotalScore,Payout,City,State,Country
47520,FPO,,,Catrina Allen,44184,968,,,,,,,,Pipestone,MN,United States
47520,MPO,,,Corey Ellis,44512,1016,,,,,,,,Barboursville,WV,United States
47520,MPO,,,Philip Bartholomew,45441,1003,,,,,,,,Raleigh,NC,United States
47520,MPO,,,Brian Earhart,45879,1014,,,,,,,,Vernon Hills,IL,United States
47520,MPO,,,Calvin Heimburg,45971,1052,,,,,,,,Tampa Bay,FL,United States
47520,MPO,,,Michael Hoffman,46997,994,,,,,,,,Cookeville,TN,United States
47520,MPO,,,Reid Frescura,48338,1009,,,,,,,,Holland,MI,United States
47520,MPO,,,Mike Carman,48559,989,,,,,,,,Ottsville,PA,United States
47520,MPO,,,Matt Bell,48950,1022,,,,,,,,Santa Cruz,CA,United States
47520,MPO,,,Chris Clemons,50401,1025,,,,,,,,Kansas City,MO,United States
