name,pdga_number,rating,current_rank,current_points,mean_final_points,mean_final_rank,p_top28_standings,p_top32,p_no1_seed
Ben Holding,174343,981.0,164,33.37,33.4,180.0,0.0,0.0,0.0
Alexander Standal Borgersrud,182130,999.0,165,33.33,33.3,181.0,0.0,0.0,0.0
Jason Lawson,165807,1012.0,166,33.0,33.0,182.1,0.0,0.0,0.0
Jedd Berger,152206,1011.0,167,32.67,59.2,149.5,0.0,0.0,0.0
Mathias Villota,103114,1023.0,168,32.67,32.7,183.3,0.0,0.0,0.0
Eetu Salomäki,117593,1011.0,169,32.1,32.1,184.6,0.0,0.0,0.0
Matt Thompson,125969,1009.0,170,32.0,32.0,186.2,0.0,0.0,0.0
Arttu Rossi,228153,1001.0,171,32.0,32.0,186.5,0.0,0.0,0.0
Gillis MacDougall,124607,1007.0,172,31.67,48.6,159.1,0.0,0.0,0.0
Payton Mergen,239942,1000.0,173,31.67,31.7,188.1,0.0,0.0,0.0
Colby Schefers,174519,986.0,174,30.92,30.9,189.4,0.0,0.0,0.0
Eric Oakley,53565,1004.0,175,29.53,43.6,166.5,0.0,0.0,0.0
Logan Riding,74221,1004.0,176,28.67,28.7,191.9,0.0,0.0,0.0
Maximus Meyer,49865,999.0,177,28.66,28.7,193.0,0.0,0.0,0.0
Zach Melton,38631,994.0,178,28.33,45.3,162.7,0.0,0.0,0.0
Pekka Hyvönen,107079,1004.0,179,28.0,28.0,195.1,0.0,0.0,0.0
Kalle Ojala,91946,976.0,180,28.0,28.0,194.8,0.0,0.0,0.0
Parker Austin,165881,1009.0,181,27.94,47.7,161.9,0.0,0.0,0.0
Benjamin Callaway,39015,1021.0,182,27.71,83.1,136.5,0.0,0.0,0.0
Dylan Capaccioli,122655,1022.0,183,27.0,27.0,197.2,0.0,0.0,0.0
Scott Withers,38464,1025.0,184,26.33,26.3,199.5,0.0,0.0,0.0
Ville Parpala,110596,1012.0,185,26.33,26.3,199.7,0.0,0.0,0.0
Sylus Williams,131330,1013.0,186,26.0,37.9,181.1,0.0,0.0,0.0
Gregg Barsby,15857,1022.0,187,25.83,116.7,120.0,0.0,0.0,0.0
James Collier,132972,994.0,188,25.82,25.8,202.0,0.0,0.0,0.0
Blake Houston,130941,1009.0,189,24.66,24.7,203.8,0.0,0.0,0.0
Isaiah Oliver,102591,1006.0,190,24.23,24.2,204.9,0.0,0.0,0.0
Blake Poland,100708,1019.0,191,23.9,23.9,206.4,0.0,0.0,0.0
Peter Lunde,72576,1015.0,192,23.51,23.5,207.5,0.0,0.0,0.0
Alan Vazquez,198236,1000.0,193,23.5,23.5,208.5,0.0,0.0,0.0
Jared Stoll,68103,994.0,194,22.93,29.0,193.4,0.0,0.0,0.0
Tim Denna,65766,1008.0,195,22.67,22.7,210.0,0.0,0.0,0.0
Frank Smith,99092,1014.0,196,22.67,35.9,186.3,0.0,0.0,0.0
Sawyer Barlow,165190,1010.0,197,22.17,35.0,182.1,0.0,0.0,0.0
Kalle Kela,178485,999.0,198,22.17,22.2,211.4,0.0,0.0,0.0
Sam DiCarlo,115742,1009.0,199,22.0,22.0,213.3,0.0,0.0,0.0
Cola Di Tullio,193478,1002.0,200,22.0,22.0,213.3,0.0,0.0,0.0
Dawson Snelling,45739,1018.0,201,21.84,21.8,215.0,0.0,0.0,0.0
Tony Moe Reiss,47136,1013.0,202,21.33,21.3,216.7,0.0,0.0,0.0
Jarod O'Brien,92426,1006.0,203,21.33,21.3,216.6,0.0,0.0,0.0
Jayden Torres,108560,1009.0,204,20.93,20.9,218.5,0.0,0.0,0.0
Maxime Tanghe,8399,1005.0,205,20.67,35.2,182.6,0.0,0.0,0.0
Ryan Jewell,180216,1003.0,206,20.67,24.3,209.1,0.0,0.0,0.0
Rasmus Lampela,137010,1022.0,207,20.0,20.0,221.5,0.0,0.0,0.0
Taaniel Mehine,177347,1011.0,208,20.0,20.0,221.6,0.0,0.0,0.0
Noah Fiveash,99153,972.0,209,19.0,19.0,223.8,0.0,0.0,0.0
Ryan Bain,196731,1002.0,210,18.89,18.9,225.0,0.0,0.0,0.0
Paul Oman,34344,1024.0,211,18.5,111.6,124.5,0.0,0.0,0.0
Nate Corder,44800,986.0,212,18.33,18.3,226.4,0.0,0.0,0.0
Miro Ryhänen,176270,1012.0,213,18.0,18.0,228.8,0.0,0.0,0.0
Max Forsman,224293,1005.0,214,18.0,18.0,228.7,0.0,0.0,0.0
Julius Mølgaard,165751,1003.0,215,17.83,17.8,230.8,0.0,0.0,0.0
Hayden Carroll,124016,1006.0,216,17.67,33.2,188.1,0.0,0.0,0.0
Isak Andersson,123433,993.0,217,16.5,16.5,232.5,0.0,0.0,0.0
John Jones,43834,995.0,218,16.07,23.5,209.7,0.0,0.0,0.0
Eemil Lampela,119596,1006.0,219,15.8,15.8,235.0,0.0,0.0,0.0
Rasmus Koski,203331,990.0,220,15.8,15.8,234.9,0.0,0.0,0.0
Kirby Snyder,115165,1006.0,221,15.33,15.3,236.7,0.0,0.0,0.0
Gustav Dahlén,102051,1007.0,222,15.1,15.1,237.8,0.0,0.0,0.0
Hayden Frederiksen,205985,1006.0,223,15.0,15.0,239.9,0.0,0.0,0.0
Chris Reliford,163877,990.0,224,15.0,15.0,239.9,0.0,0.0,0.0
Halvard Solberg,235882,982.0,225,15.0,15.0,240.1,0.0,0.0,0.0
Ville Von Hertzen,211404,1007.0,226,14.75,14.8,242.1,0.0,0.0,0.0
Charles Peake,267928,982.0,227,14.67,14.7,243.2,0.0,0.0,0.0
Alex Berg,65488,989.0,228,14.33,19.5,222.8,0.0,0.0,0.0
Houston Finch,258444,1004.0,229,14.22,14.2,244.5,0.0,0.0,0.0
Gavin Rathbun,60436,1022.0,230,14.0,14.0,246.0,0.0,0.0,0.0
Justin Rosak,98161,994.0,231,14.0,21.1,218.3,0.0,0.0,0.0
Gavin King,134643,1002.0,232,13.87,13.9,247.4,0.0,0.0,0.0
Matt Hammersten,81781,1016.0,233,13.5,13.5,248.6,0.0,0.0,0.0
